,Name,Pos,League,Age,90s,TklAtt,TklWon,Tkl_Percentage%,TklWon/90,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Succ,Press,Pres%,Succ/90,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,Blocks/90,ShotBlocked,ShSv,Pass,Int,Int/90,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,PassCmp/90,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersAtt,HeadersWon/90,HeadersWon%
25,Nayef Aguerd,DF,Ligue 1,25.0,30.4,30,12,40.0,0.4,17,13,0,7,18,38.9,11,66,190,34.7,2.2,102,84,4,30,1.0,13,0,17,54,1.8,84,152,2,2,25,7,28.0,0.82,0.23,0.08,0.29,8.6,0,0,0,1.9,1.9,0.07,0.1,0.1,12,0.39,10,0,0,1,1,0,4,0.13,3,0,0,0,1,0,1956,2174,90.0,64.3,45056,14662,485,519,93.4,1011,1059,95.5,450,574,78.4,2,0.4,1.6,3,111,2,0,89,232,108,46,154,3.6,70.1
27,Ruben Aguilar,DF,Ligue 1,28.0,23.8,91,51,56.0,2.1,48,33,10,45,73,61.6,28,137,417,32.9,5.8,189,170,58,39,1.6,7,0,32,59,2.5,150,70,1,0,10,2,20.0,0.42,0.08,0.0,0.0,22.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,26,1.09,21,1,1,0,2,1,3,0.13,3,0,0,0,0,0,1438,1715,83.8,60.4,25168,9876,679,736,92.3,635,730,87.0,112,204,54.9,2,0.8,1.2,12,130,34,6,153,236,39,40,79,1.6,49.4
32,Joseph Aidoo,DF,La Liga,25.0,29.3,58,41,70.7,1.4,46,8,4,22,33,66.7,11,124,318,39.0,4.2,207,98,13,49,1.7,17,0,32,55,1.9,113,130,2,0,6,1,16.7,0.2,0.03,0.0,0.0,12.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,13,0.44,12,0,0,1,0,0,2,0.07,2,0,0,0,0,0,1263,1523,82.9,43.1,29021,8209,297,337,88.1,650,726,89.5,301,432,69.7,0,0.1,-0.1,3,100,7,1,99,281,77,51,128,2.6,60.2
34,Rayan Aït Nouri,DF,Premier League,20.0,20.3,76,43,56.6,2.1,54,14,8,28,45,62.2,17,135,402,33.6,6.7,231,116,55,34,1.7,3,0,31,38,1.9,114,32,1,1,13,4,30.8,0.64,0.2,0.08,0.25,16.9,0,0,0,0.7,0.7,0.06,0.3,0.3,44,2.17,26,10,4,0,2,2,6,0.3,4,1,0,0,1,0,754,1003,75.2,37.1,13088,4592,385,420,91.7,288,366,78.7,76,174,43.7,2,1.3,0.7,17,29,15,9,49,135,20,19,39,1.0,51.3
35,Kristoffer Ajer,DF,Premier League,23.0,22.2,40,22,55.0,1.0,25,12,3,20,36,55.6,16,73,206,35.4,3.3,107,70,29,36,1.6,13,1,23,49,2.2,89,81,1,1,7,1,14.3,0.32,0.05,0.14,1.0,9.1,0,0,0,0.8,0.8,0.11,0.2,0.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0,629,873,72.1,28.3,11601,5267,245,296,82.8,295,370,79.7,74,153,48.4,3,1.4,1.6,6,48,10,1,75,186,63,38,101,2.8,62.4
36,Ludovic Ajorque,FW,Ligue 1,27.0,30.4,46,25,54.3,0.8,4,23,19,8,40,20.0,32,143,520,27.5,4.7,59,234,227,24,0.8,5,0,19,15,0.5,61,32,1,12,59,25,42.4,1.94,0.82,0.15,0.36,13.1,0,3,3,11.0,8.7,0.15,1.0,0.3,75,2.47,55,0,2,7,9,2,9,0.3,6,0,0,2,1,0,670,909,73.7,22.0,10159,1364,384,482,79.7,191,261,73.2,54,80,67.5,8,5.5,2.5,38,29,27,5,46,114,154,120,274,5.1,56.2
37,Manuel Akanji,DF,Bundesliga,26.0,25.1,50,36,72.0,1.4,29,16,5,22,36,61.1,14,113,246,45.9,4.5,140,92,14,38,1.5,18,0,20,47,1.9,97,73,0,1,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0,0,1.8,1.8,0.13,-0.8,-0.8,11,0.44,8,1,1,1,0,0,0,0.0,0,0,0,0,0,0,1801,1986,90.7,71.8,40191,13222,489,529,92.4,951,992,95.9,356,447,79.6,0,0.1,-0.1,2,130,3,0,121,240,64,39,103,2.5,62.1
38,Carlos Akapo,DF,La Liga,28.0,20.5,53,34,64.2,1.7,34,14,5,12,31,38.7,19,104,291,35.7,5.1,164,95,32,35,1.7,8,0,27,65,3.2,118,53,0,0,10,1,10.0,0.49,0.05,0.0,0.0,19.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,24,1.17,16,1,2,1,3,1,1,0.05,1,0,0,0,0,0,630,849,74.2,30.7,11828,4697,264,310,85.2,287,358,80.2,71,146,48.6,0,0.5,-0.5,9,26,16,9,37,200,43,36,79,2.1,54.4
46,David Alaba,DF,La Liga,29.0,29.4,25,18,72.0,0.6,13,10,2,9,16,56.3,7,83,223,37.2,2.8,100,100,23,37,1.3,17,1,20,41,1.4,66,67,2,2,21,6,28.6,0.72,0.2,0.1,0.33,22.0,7,0,0,1.6,1.6,0.08,0.4,0.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0,1804,1967,91.7,61.4,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,0.6,22,132,18,5,102,189,23,23,46,0.8,50.0
50,Jordi Alba,DF,La Liga,32.0,29.4,44,25,56.8,0.9,12,26,6,22,46,47.8,24,99,318,31.1,3.4,103,154,61,56,1.9,7,0,49,48,1.6,92,38,2,2,31,6,19.4,1.06,0.2,0.06,0.33,23.5,1,0,0,1.3,1.3,0.04,0.7,0.7,84,2.86,78,2,1,2,1,0,13,0.44,12,0,0,1,0,0,2336,2770,84.3,79.5,40855,15180,1085,1178,92.1,1002,1152,87.0,222,351,63.2,10,5.9,4.1,58,231,64,18,254,271,18,30,48,0.6,37.5
52,Luis Alberto,MF,Serie A,28.0,26.1,31,18,58.1,0.7,9,12,10,11,45,24.4,34,106,413,25.7,4.1,113,188,112,29,1.1,4,0,25,22,0.8,53,6,0,5,47,16,34.0,1.8,0.61,0.11,0.31,19.8,1,0,0,3.5,3.5,0.08,1.5,1.5,112,4.28,76,26,2,3,4,1,16,0.61,7,6,1,2,0,0,1643,1976,83.1,63.0,28022,9086,809,879,92.0,631,724,87.2,164,302,54.3,9,7.8,1.2,63,206,49,7,180,186,11,15,26,0.4,42.3
53,Raúl Albiol,DF,La Liga,35.0,27.4,27,15,55.6,0.5,17,10,0,9,14,64.3,5,68,168,40.5,2.5,89,73,6,38,1.4,16,1,22,37,1.4,64,143,0,0,6,1,16.7,0.22,0.04,0.0,0.0,8.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,9,0.33,7,0,0,2,0,0,2,0.07,1,0,0,1,0,0,1337,1528,87.5,48.8,31802,8859,283,306,92.5,720,772,93.3,319,418,76.3,0,0.1,-0.1,4,63,1,0,67,244,53,28,81,1.9,65.4
58,Omar Alderete,DF,La Liga,24.0,26.7,65,45,69.2,1.7,41,23,1,30,53,56.6,23,92,247,37.2,3.4,143,94,10,36,1.3,18,0,18,70,2.6,135,185,0,2,17,5,29.4,0.64,0.19,0.12,0.4,16.3,0,0,0,0.9,0.9,0.06,1.1,1.1,11,0.41,10,0,1,0,0,0,2,0.07,2,0,0,0,0,0,578,930,62.2,21.6,15121,6757,150,185,81.1,235,308,76.3,184,417,44.1,0,0.3,-0.3,5,76,7,0,76,284,95,41,136,3.6,69.9
61,Carles Aleñá,MF,La Liga,23.0,25.8,34,22,64.7,0.9,16,13,5,16,48,33.3,32,128,551,23.2,5.0,117,311,123,27,1.0,2,0,25,19,0.7,53,10,0,1,47,14,29.8,1.82,0.54,0.02,0.07,23.2,0,0,0,2.0,2.0,0.04,-1.0,-1.0,52,2.02,42,1,2,3,4,0,4,0.16,4,0,0,0,0,0,689,860,80.1,26.7,12609,2508,320,360,88.9,258,313,82.4,99,152,65.1,2,1.6,0.4,21,61,16,4,61,159,14,30,44,0.5,31.8
62,Trent Alexander-Arnold,DF,Premier League,22.0,31.7,44,24,54.5,0.8,22,15,7,23,59,39.0,36,97,288,33.7,3.1,114,88,86,39,1.2,5,1,34,76,2.4,120,43,1,2,51,14,27.5,1.61,0.44,0.04,0.14,23.0,5,0,0,2.7,2.7,0.05,-0.7,-0.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0,2013,2706,74.4,63.5,44509,18154,727,826,88.0,813,1010,80.5,451,786,57.4,12,11.2,0.8,89,231,89,26,278,319,18,22,40,0.6,45.0
64,Mohamed Ali Cho,FW,Ligue 1,17.0,20.4,10,7,70.0,0.3,2,4,4,1,13,7.7,12,106,476,22.3,5.2,32,218,226,19,0.9,1,0,18,13,0.6,23,1,0,4,42,15,35.7,2.06,0.73,0.1,0.27,15.5,0,0,0,7.0,7.0,0.17,-3.0,-3.0,39,1.91,22,0,5,2,7,3,7,0.34,4,0,0,2,1,0,228,322,70.8,11.2,3214,599,141,173,81.5,61,84,72.6,11,29,37.9,1,2.5,-1.5,14,12,10,5,16,83,15,71,86,0.7,17.4
66,Allan,MF,Premier League,30.0,24.3,77,61,79.2,2.5,31,41,5,26,88,29.5,62,204,648,31.5,8.4,260,327,61,46,1.9,9,0,37,42,1.7,119,40,0,0,7,3,42.9,0.29,0.12,0.0,0.0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0,757,967,78.3,31.2,14541,4232,284,332,85.5,354,426,83.1,99,157,63.1,2,0.9,1.1,15,100,19,2,106,272,12,13,25,0.5,48.0
70,Miguel Almirón,MFFW,Premier League,27.0,19.1,57,33,57.9,1.7,27,22,8,13,47,27.7,34,109,432,25.2,5.7,127,166,139,22,1.2,1,1,21,25,1.3,82,12,0,1,32,7,21.9,1.68,0.37,0.03,0.14,18.7,0,0,0,2.1,2.1,0.06,-1.1,-1.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0,406,505,80.4,21.3,6222,1461,224,254,88.2,139,169,82.2,28,46,60.9,0,0.7,-0.7,16,22,9,2,38,122,5,18,23,0.3,21.7
71,Marcos Alonso,DF,Premier League,30.0,24.1,45,28,62.2,1.2,21,13,11,14,32,43.8,18,85,300,28.3,3.5,121,101,78,39,1.6,6,0,33,66,2.7,111,55,0,4,43,10,23.3,1.79,0.42,0.09,0.4,18.9,9,0,0,3.3,3.3,0.08,0.7,0.7,89,3.7,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0,1132,1456,77.7,47.0,19695,6764,556,629,88.4,448,532,84.2,108,235,46.0,4,4.6,-0.6,44,68,33,15,107,216,59,26,85,2.4,69.4
74,Yeray Álvarez,DF,La Liga,26.0,20.7,34,19,55.9,0.9,18,16,0,7,14,50.0,7,60,137,43.8,2.9,64,66,7,28,1.4,18,1,10,54,2.6,88,103,0,0,8,0,0.0,0.39,0.0,0.0,0.0,11.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,11,0.53,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0,825,996,82.8,39.9,18382,6658,230,250,92.0,432,478,90.4,159,250,63.6,0,0.1,-0.1,2,56,4,0,61,253,70,46,116,3.4,60.3
79,Daniel Amartey,DF,Premier League,26.0,23.6,25,12,48.0,0.5,15,9,1,16,32,50.0,16,54,172,31.4,2.3,97,67,8,48,2.0,24,1,24,30,1.3,55,110,2,0,2,1,50.0,0.08,0.04,0.0,0.0,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,17,0.72,16,0,0,0,0,1,1,0.04,1,0,0,0,0,0,1353,1475,91.7,57.3,27707,7913,405,428,94.6,751,788,95.3,186,230,80.9,0,0.2,-0.2,3,55,0,0,59,211,45,38,83,1.9,54.2
84,Kelvin Amian,DF,Serie A,23.0,29.4,68,39,57.4,1.3,44,15,9,23,40,57.5,17,155,444,34.9,5.3,238,143,63,68,2.3,23,0,45,48,1.6,116,72,0,1,26,7,26.9,0.88,0.24,0.04,0.14,14.2,0,0,0,2.4,2.4,0.09,-1.4,-1.4,28,0.95,21,1,2,2,2,0,1,0.03,1,0,0,0,0,0,900,1137,79.2,30.6,15009,6667,455,510,89.2,345,426,81.0,81,143,56.6,1,1.2,-0.2,13,56,12,3,69,148,43,39,82,1.5,52.4
87,Ethan Ampadu,MFDF,Serie A,20.0,25.4,76,43,56.6,1.7,44,25,7,20,45,44.4,25,124,429,28.9,4.9,215,182,32,61,2.4,21,0,40,55,2.2,131,76,0,0,7,1,14.3,0.28,0.04,0.0,0.0,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,36,1.42,34,1,1,0,0,0,5,0.2,5,0,0,0,0,0,866,1154,75.0,34.1,17462,6607,315,380,82.9,401,478,83.9,137,257,53.3,3,1.4,1.6,14,80,13,5,95,265,68,38,106,2.7,64.2
89,Joachim Andersen,DF,Premier League,25.0,32.4,36,23,63.9,0.7,26,10,0,14,28,50.0,14,58,157,36.9,1.8,95,55,7,41,1.3,21,0,20,60,1.9,96,156,2,0,8,3,37.5,0.25,0.09,0.0,0.0,14.0,1,0,0,0.6,0.6,0.07,-0.6,-0.6,33,1.02,29,1,0,1,0,2,5,0.15,4,0,0,1,0,0,1813,2197,82.5,56.0,47245,14431,326,367,88.8,962,1034,93.0,518,779,66.5,3,1.8,1.2,19,159,12,3,93,287,84,43,127,2.6,66.1
90,Felipe Anderson,FW,Serie A,28.0,32.1,82,50,61.0,1.6,34,33,15,28,92,30.4,64,180,784,23.0,5.6,183,342,259,65,2.0,5,1,60,37,1.2,119,16,1,6,44,16,36.4,1.37,0.5,0.14,0.38,15.8,0,0,0,5.5,5.5,0.13,0.5,0.5,102,3.18,80,3,7,3,9,0,17,0.53,11,0,4,2,0,0,1108,1424,77.8,34.5,17105,4561,640,744,86.0,362,461,78.5,78,132,59.1,8,6.9,1.1,52,52,64,12,123,191,18,29,47,0.6,38.3
95,Benjamin André,MF,Ligue 1,30.0,30.6,115,78,67.8,2.5,43,59,13,31,97,32.0,66,219,686,31.9,7.2,227,367,92,77,2.5,15,0,62,76,2.5,191,63,1,2,18,5,27.8,0.59,0.16,0.11,0.4,13.0,0,0,0,1.6,1.6,0.09,0.4,0.4,43,1.41,35,0,2,3,1,2,4,0.13,3,0,0,1,0,0,1429,1770,80.7,46.7,25809,7004,646,747,86.5,539,644,83.7,188,275,68.4,1,1.8,-0.8,15,132,14,1,141,353,118,81,199,3.9,59.3
96,Robert Andrich,MF,Bundesliga,26.0,20.2,42,33,78.6,1.6,23,18,1,12,29,41.4,17,121,357,33.9,6.0,133,181,43,33,1.6,8,0,25,46,2.3,88,49,2,4,30,7,23.3,1.49,0.35,0.13,0.57,17.5,1,0,0,3.2,3.2,0.11,0.8,0.8,31,1.54,21,0,2,4,3,1,5,0.25,2,0,0,3,0,0,832,1011,82.3,41.2,14784,4195,380,425,89.4,337,397,84.9,93,149,62.4,2,0.9,1.1,10,87,9,0,89,228,42,22,64,2.1,65.6
98,Angeliño,DF,Bundesliga,24.0,25.5,35,18,51.4,0.7,16,16,3,16,31,51.6,15,94,263,35.7,3.7,103,97,63,46,1.8,4,0,42,35,1.4,70,50,0,2,15,7,46.7,0.59,0.27,0.13,0.29,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6,81,3.17,51,23,2,3,1,1,10,0.39,6,4,0,0,0,0,1094,1508,72.5,42.9,20135,7818,518,576,89.9,393,513,76.6,153,359,42.6,5,5.9,-0.9,51,75,57,32,109,202,21,23,44,0.8,47.7
102,Waldemar Anton,DF,Bundesliga,25.0,28.8,47,33,70.2,1.1,27,18,2,21,42,50.0,21,128,329,38.9,4.4,167,139,23,51,1.8,18,1,33,66,2.3,113,159,1,2,23,6,26.1,0.8,0.21,0.09,0.33,13.8,0,0,0,1.7,1.7,0.07,0.3,0.3,30,1.04,25,1,0,0,1,3,2,0.07,2,0,0,0,0,0,1541,1801,85.6,53.5,33911,11215,436,471,92.6,824,896,92.0,265,400,66.3,1,1.5,-0.5,10,92,11,2,86,290,88,64,152,3.1,57.9
104,Michail Antonio,FW,Premier League,31.0,33.0,28,23,82.1,0.7,7,9,12,6,20,30.0,14,133,460,28.9,4.0,34,166,260,26,0.8,1,0,25,14,0.4,42,17,0,10,83,27,32.5,2.51,0.82,0.12,0.37,14.3,0,0,1,11.1,10.8,0.13,-1.1,-0.8,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1,466,708,65.8,14.1,7552,1461,256,333,76.9,145,213,68.1,45,84,53.6,8,6.6,1.4,46,26,32,13,43,138,81,145,226,2.5,35.8
106,Houssem Aouar,MFFW,Ligue 1,23.0,27.8,53,33,62.3,1.2,16,25,12,19,51,37.3,32,127,521,24.4,4.6,111,237,173,22,0.8,1,0,21,38,1.4,91,7,0,6,77,25,32.5,2.77,0.9,0.08,0.24,17.6,0,0,0,7.9,7.9,0.1,-1.9,-1.9,102,3.67,74,3,9,9,4,3,6,0.22,5,0,0,1,0,0,1274,1460,87.3,45.8,20266,4917,703,764,92.0,430,485,88.7,105,143,73.4,4,5.1,-1.1,35,121,34,2,127,206,11,25,36,0.4,30.6
108,Dennis Appiah,DF,Ligue 1,29.0,23.3,68,36,52.9,1.5,46,18,4,25,55,45.5,30,122,376,32.4,5.2,214,127,35,43,1.8,13,0,30,47,2.0,115,73,0,0,2,0,0.0,0.09,0.0,0.0,0.0,21.4,0,0,0,0.0,0.0,0.02,0.0,0.0,16,0.69,13,1,1,0,0,1,0,0.0,0,0,0,0,0,0,776,995,78.0,33.3,14629,6615,320,362,88.4,337,414,81.4,111,185,60.0,0,0.3,-0.3,4,47,15,8,75,166,36,44,80,1.5,45.0
109,Mauro Arambarri,MF,La Liga,25.0,29.6,64,37,57.8,1.2,22,32,10,17,57,29.8,40,162,634,25.6,5.5,175,385,74,54,1.8,5,0,49,47,1.6,111,24,1,0,37,8,21.6,1.25,0.27,0.0,0.0,26.6,2,0,0,1.1,1.1,0.03,-1.1,-1.1,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1,947,1262,75.0,32.0,21303,5331,348,411,84.7,339,410,82.7,241,388,62.1,5,1.9,3.1,40,85,13,5,65,284,31,36,67,1.0,46.3
110,Mattia Aramu,MFFW,Serie A,26.0,23.3,21,11,52.4,0.5,3,12,6,6,28,21.4,22,114,463,24.6,4.9,99,210,154,29,1.2,3,0,26,14,0.6,35,21,0,7,57,16,28.1,2.44,0.69,0.07,0.25,23.9,17,3,4,6.9,3.9,0.07,0.1,0.1,71,3.04,31,19,4,2,14,1,10,0.43,7,1,0,0,2,0,529,804,65.8,22.7,9556,3370,246,301,81.7,197,263,74.9,74,193,38.3,5,4.4,0.6,37,36,33,15,64,121,16,40,56,0.7,28.6
112,Néstor Araujo,DF,La Liga,29.0,29.1,27,17,63.0,0.6,22,5,0,9,18,50.0,9,73,191,38.2,2.5,101,81,9,30,1.0,12,1,18,53,1.8,80,146,0,0,8,1,12.5,0.28,0.03,0.0,0.0,21.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,8,0.28,6,0,1,1,0,0,2,0.07,2,0,0,0,0,0,1330,1520,87.5,45.7,29730,6600,331,364,90.9,710,762,93.2,281,372,75.5,0,0.2,-0.2,1,59,3,1,56,283,70,54,124,2.4,56.5
113,Ronald Araújo,DF,La Liga,22.0,25.2,49,33,67.3,1.3,37,11,1,23,30,76.7,7,85,220,38.6,3.4,117,92,11,50,2.0,21,1,29,37,1.5,86,78,2,4,19,10,52.6,0.75,0.4,0.21,0.4,11.4,0,0,0,1.4,1.4,0.08,2.6,2.6,13,0.51,10,0,0,2,1,0,0,0.0,0,0,0,0,0,0,1485,1643,90.4,58.9,31687,8608,405,426,95.1,827,875,94.5,240,323,74.3,0,0.4,-0.4,6,85,5,2,77,209,72,26,98,2.9,73.5
121,Marko Arnautović,FW,Serie A,32.0,29.9,22,15,68.2,0.5,1,15,6,7,32,21.9,25,137,461,29.7,4.6,52,198,211,14,0.5,2,0,12,15,0.5,37,16,0,14,91,32,35.2,3.04,1.07,0.13,0.38,14.4,3,2,3,14.7,12.5,0.14,-0.7,-0.5,82,2.74,64,0,6,8,2,2,6,0.2,4,0,1,1,0,0,683,927,73.7,22.8,9972,1619,387,504,76.8,230,295,78.0,35,54,64.8,1,4.4,-3.4,44,27,22,2,52,115,49,53,102,1.6,48.0
