,Name,Pos,League,Age,90s,TklAtt,TklWon,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Press,Succ,Pres%,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,ShotBlocked,ShSv,Pass,Int,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersWon%,Tkl_Percentage%,TklWon/90,Succ/90,Blocks/90,Int/90,PassCmp/90,HeadersWon/90,HeadersAtt
10,Ragnar Ache,MFFW,Bundesliga,23.0,2.9,2,2,0,1,1,2,3,66.7,1,69,20,29.0,5,29,35,3,0,0,3,0,2,1,0,0,11,2,18.2,3.82,0.69,0.0,0.0,15.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,5,1.74,3,0,1,1,0,0,1,0.35,0,0,0,1,0,0,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,1,0.3,0.7,2,3,2,2,3,15,20,11,64.5,100.0,0.7,6.9,1.0,0.0,14.5,6.9,31
11,Mohamed Achi,MF,Ligue 1,19.0,0.1,1,1,0,0,1,0,0,0.0,0,2,2,100.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,5,60.0,49,0,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,100.0,10.0,20.0,0.0,0.0,30.0,0.0,0
12,Marcos Acuña,DF,La Liga,29.0,25.1,58,39,33,15,10,21,35,60.0,14,293,99,33.8,132,119,42,36,4,0,32,31,89,30,0,1,17,5,29.4,0.68,0.2,0.06,0.2,22.1,1,0,0,1.4,1.4,0.08,-0.4,-0.4,66,2.63,42,16,1,3,4,0,3,0.12,1,2,0,0,0,0,1564,1971,79.4,32212,11965,591,635,93.1,682,803,84.9,275,474,58.0,3,3.0,0.0,41,103,42,23,123,223,33,37,47.1,67.2,1.6,3.9,1.4,1.2,62.3,1.3,70
13,Che Adams,FW,Premier League,25.0,22.7,16,9,4,6,6,2,15,13.3,13,332,87,26.2,38,132,162,25,4,0,21,10,26,15,0,7,49,24,49.0,2.16,1.06,0.14,0.29,12.9,0,0,0,7.1,7.1,0.14,-0.1,-0.1,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1,337,484,69.6,5275,1087,187,240,77.9,101,135,74.8,30,53,56.6,3,2.6,0.4,26,22,13,1,35,120,56,111,33.5,56.2,0.4,3.8,1.1,0.4,14.8,2.5,167
14,Tyler Adams,MF,Bundesliga,22.0,15.0,26,16,6,17,3,8,28,28.6,20,325,104,32.0,89,198,38,32,1,0,31,23,49,20,1,0,2,0,0.0,0.13,0.0,0.0,0.0,19.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,25,1.67,23,0,1,1,0,0,4,0.27,4,0,0,0,0,0,792,914,86.7,13102,3265,397,435,91.3,299,333,89.8,73,101,72.3,1,0.8,0.2,8,74,10,0,62,159,23,12,65.7,61.5,1.1,6.9,2.1,1.5,52.8,1.5,35
15,Sargis Adamyan,FWMF,Bundesliga,28.0,3.7,13,8,8,4,1,5,13,38.5,8,81,27,33.3,17,41,23,5,0,0,5,3,16,2,0,1,3,2,66.7,0.82,0.54,0.33,0.5,16.7,0,0,0,0.5,0.5,0.17,0.5,0.5,11,2.99,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,0,0.7,-0.7,4,5,4,2,9,26,5,13,27.8,61.5,2.2,7.3,1.4,0.8,19.7,1.4,18
16,Martin Adeline,MFFW,Ligue 1,17.0,3.9,14,12,8,5,1,5,15,33.3,10,102,28,27.5,37,44,21,4,0,0,4,14,28,6,0,0,4,1,25.0,1.02,0.26,0.0,0.0,10.8,0,0,0,0.4,0.4,0.11,-0.4,-0.4,8,2.05,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,107,146,73.3,1847,555,44,55,80.0,48,60,80.0,9,15,60.0,0,0.4,-0.4,3,10,2,0,11,40,2,8,20.0,85.7,3.1,7.2,1.0,3.6,27.4,0.5,10
17,Amine Adli,FWMF,Bundesliga,21.0,14.0,38,25,14,18,6,17,29,58.6,12,300,93,31.0,63,123,114,35,4,0,31,17,55,8,0,3,38,19,50.0,2.72,1.36,0.08,0.16,15.3,0,0,0,4.5,4.5,0.12,-1.5,-1.5,47,3.37,31,1,3,4,4,4,7,0.5,5,0,0,1,1,0,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,2,1.8,0.2,13,30,16,8,40,92,19,35,35.2,65.8,1.8,6.6,2.5,1.2,28.0,1.4,54
18,Yacine Adli,MFFW,Ligue 1,21.0,25.1,48,34,26,17,5,15,67,22.4,52,625,182,29.1,166,319,140,41,3,0,38,54,102,15,1,1,33,15,45.5,1.31,0.6,0.03,0.07,19.9,4,0,0,2.2,2.2,0.07,-1.2,-1.2,103,4.1,67,20,4,3,6,3,13,0.52,10,2,0,0,1,0,910,1237,73.6,19345,6364,360,426,84.5,352,432,81.5,188,331,56.8,7,5.5,1.5,57,112,39,4,148,161,24,20,54.5,70.8,1.4,7.3,1.6,2.2,36.3,1.0,44
19,Michel Aebischer,MF,Serie A,24.0,4.9,15,8,6,7,2,5,10,50.0,5,128,27,21.1,45,66,17,5,0,0,5,5,20,3,0,0,2,2,100.0,0.41,0.41,0.0,0.0,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,9,1.83,7,1,0,0,0,1,0,0.0,0,0,0,0,0,0,216,243,88.9,3626,926,104,109,95.4,84,93,90.3,18,27,66.7,0,0.4,-0.4,6,10,5,1,16,33,6,8,42.9,53.3,1.6,5.5,1.0,1.0,44.1,1.2,14
20,Felix Afena-Gyan,FWMF,Serie A,18.0,7.4,8,4,1,6,1,4,9,44.4,5,222,55,24.8,27,92,103,5,0,0,5,5,13,0,0,2,18,7,38.9,2.43,0.94,0.11,0.29,15.0,0,0,0,1.9,1.9,0.1,0.1,0.1,24,3.23,16,0,1,2,4,1,3,0.4,2,0,1,0,0,0,125,164,76.2,1829,264,73,90,81.1,42,52,80.8,5,9,55.6,0,0.2,-0.2,5,3,6,2,10,46,9,18,33.3,50.0,0.5,7.4,0.7,0.7,16.9,1.2,27
21,Martin Agirregabiria,DF,La Liga,25.0,18.0,42,23,22,12,8,22,43,51.2,21,231,58,25.1,97,104,30,33,3,0,30,24,66,44,0,0,5,0,0.0,0.28,0.0,0.0,0.0,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,26,1.45,20,2,1,0,3,0,2,0.11,1,0,1,0,0,0,563,788,71.4,10437,5352,234,282,83.0,268,350,76.6,58,135,43.0,1,1.0,0.0,14,50,19,11,55,151,34,39,46.6,54.8,1.3,3.2,1.8,1.3,31.3,1.9,73
22,Lucien Agoume,MF,Ligue 1,19.0,20.8,57,42,25,26,6,16,29,55.2,13,378,121,32.0,118,209,51,38,11,0,27,56,113,32,0,0,16,1,6.3,0.77,0.05,0.0,0.0,10.8,0,0,0,1.2,1.1,0.07,-1.2,-1.1,31,1.49,24,1,0,4,2,0,1,0.05,1,0,0,0,0,0,828,981,84.4,15860,4119,345,393,87.8,327,370,88.4,134,168,79.8,0,0.4,-0.4,11,68,11,0,78,206,31,31,50.0,73.7,2.0,5.8,1.8,2.7,39.8,1.5,62
23,Kevin Agudelo,MFFW,Serie A,22.0,13.7,41,27,14,20,7,8,19,42.1,11,400,88,22.0,80,212,108,27,0,0,27,18,59,4,0,3,22,11,50.0,1.6,0.8,0.14,0.27,16.6,0,0,0,2.5,2.5,0.11,0.5,0.5,38,2.76,19,0,7,2,3,7,3,0.22,1,0,0,0,0,2,284,385,73.8,4222,1221,154,187,82.4,111,138,80.4,9,25,36.0,1,0.8,0.2,10,27,13,3,37,99,16,20,44.4,65.9,2.0,6.4,2.0,1.3,20.7,1.2,36
24,Nayef Aguerd,DF,Ligue 1,25.0,30.4,30,12,17,13,0,7,18,38.9,11,190,66,34.7,102,84,4,30,13,0,17,54,84,152,2,2,25,7,28.0,0.82,0.23,0.08,0.29,8.6,0,0,0,1.9,1.9,0.07,0.1,0.1,12,0.39,10,0,0,1,1,0,4,0.13,3,0,0,0,1,0,1956,2174,90.0,45056,14662,485,519,93.4,1011,1059,95.5,450,574,78.4,2,0.4,1.6,3,111,2,0,89,232,108,46,70.1,40.0,0.4,2.2,1.0,1.8,64.3,3.6,154
25,Sergio Agüero,FW,La Liga,33.0,1.7,1,1,0,0,1,0,1,0.0,1,18,4,22.2,0,8,10,0,0,0,0,0,1,0,0,1,6,1,16.7,3.58,0.6,0.17,1.0,12.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1,3,1.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2,3,4,2,66.7,100.0,0.6,2.4,0.0,0.0,18.2,2.4,6
26,Ruben Aguilar,DF,Ligue 1,28.0,23.8,91,51,48,33,10,45,73,61.6,28,417,137,32.9,189,170,58,39,7,0,32,59,150,70,1,0,10,2,20.0,0.42,0.08,0.0,0.0,22.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,26,1.09,21,1,1,0,2,1,3,0.13,3,0,0,0,0,0,1438,1715,83.8,25168,9876,679,736,92.3,635,730,87.0,112,204,54.9,2,0.8,1.2,12,130,34,6,153,236,39,40,49.4,56.0,2.1,5.8,1.6,2.5,60.4,1.6,79
27,Álvaro Aguirre,FW,La Liga,21.0,0.1,1,1,0,0,1,0,0,0.0,0,3,1,33.3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,100.0,24,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,100.0,10.0,10.0,0.0,0.0,20.0,0.0,0
28,Naouirou Ahamada,MF,Bundesliga,19.0,0.7,0,0,0,0,0,0,1,0.0,1,17,6,35.3,4,10,3,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1,3,1,3,25.0,0.0,0.0,8.6,2.9,0.0,42.9,1.4,4
29,Anel Ahmedhodzic,DF,Ligue 1,22.0,15.0,35,22,27,7,1,13,27,48.1,14,149,50,33.6,87,47,15,19,8,0,11,34,69,46,0,0,7,4,57.1,0.47,0.27,0.0,0.0,14.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,20,1.33,18,0,0,1,0,1,1,0.07,1,0,0,0,0,0,770,869,88.6,15421,4630,287,303,94.7,364,398,91.5,113,152,74.3,1,0.7,0.3,10,31,6,2,56,156,25,10,71.4,62.9,1.5,3.3,1.3,2.3,51.3,1.7,35
30,Jean-Eudes Aholou,MF,Ligue 1,27.0,11.2,20,10,5,11,4,8,14,57.1,6,199,43,21.6,51,111,37,8,1,0,7,23,43,11,0,1,17,2,11.8,1.52,0.18,0.06,0.5,20.2,0,0,0,1.6,1.6,0.09,-0.6,-0.6,22,1.97,20,0,1,1,0,0,3,0.27,3,0,0,0,0,0,348,411,84.7,5513,1046,174,190,91.6,134,153,87.6,27,45,60.0,1,1.1,-0.1,7,21,8,1,27,117,14,8,63.6,50.0,0.9,3.8,0.7,2.1,31.1,1.2,22
31,Joseph Aidoo,DF,La Liga,25.0,29.3,58,41,46,8,4,22,33,66.7,11,318,124,39.0,207,98,13,49,17,0,32,55,113,130,2,0,6,1,16.7,0.2,0.03,0.0,0.0,12.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,13,0.44,12,0,0,1,0,0,2,0.07,2,0,0,0,0,0,1263,1523,82.9,29021,8209,297,337,88.1,650,726,89.5,301,432,69.7,0,0.1,-0.1,3,100,7,1,99,281,77,51,60.2,70.7,1.4,4.2,1.7,1.9,43.1,2.6,128
32,Ola Aina,DF,Serie A,24.0,16.0,32,15,15,13,4,17,25,68.0,8,168,54,32.1,58,70,40,25,3,0,22,33,65,33,0,0,10,4,40.0,0.63,0.25,0.0,0.0,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,35,2.19,30,2,2,0,1,0,0,0.0,0,0,0,0,0,0,546,757,72.1,9656,4260,258,298,86.6,217,280,77.5,62,135,45.9,0,1.4,-1.4,17,42,21,5,67,126,18,23,43.9,46.9,0.9,3.4,1.6,2.1,34.1,1.1,41
33,Rayan Aït Nouri,DF,Premier League,20.0,20.3,76,43,54,14,8,28,45,62.2,17,402,135,33.6,231,116,55,34,3,0,31,38,114,32,1,1,13,4,30.8,0.64,0.2,0.08,0.25,16.9,0,0,0,0.7,0.7,0.06,0.3,0.3,44,2.17,26,10,4,0,2,2,6,0.3,4,1,0,0,1,0,754,1003,75.2,13088,4592,385,420,91.7,288,366,78.7,76,174,43.7,2,1.3,0.7,17,29,15,9,49,135,20,19,51.3,56.6,2.1,6.7,1.7,1.9,37.1,1.0,39
34,Kristoffer Ajer,DF,Premier League,23.0,22.2,40,22,25,12,3,20,36,55.6,16,206,73,35.4,107,70,29,36,13,1,23,49,89,81,1,1,7,1,14.3,0.32,0.05,0.14,1.0,9.1,0,0,0,0.8,0.8,0.11,0.2,0.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0,629,873,72.1,11601,5267,245,296,82.8,295,370,79.7,74,153,48.4,3,1.4,1.6,6,48,10,1,75,186,63,38,62.4,55.0,1.0,3.3,1.6,2.2,28.3,2.8,101
35,Ludovic Ajorque,FW,Ligue 1,27.0,30.4,46,25,4,23,19,8,40,20.0,32,520,143,27.5,59,234,227,24,5,0,19,15,61,32,1,12,59,25,42.4,1.94,0.82,0.15,0.36,13.1,0,3,3,11.0,8.7,0.15,1.0,0.3,75,2.47,55,0,2,7,9,2,9,0.3,6,0,0,2,1,0,670,909,73.7,10159,1364,384,482,79.7,191,261,73.2,54,80,67.5,8,5.5,2.5,38,29,27,5,46,114,154,120,56.2,54.3,0.8,4.7,0.8,0.5,22.0,5.1,274
36,Manuel Akanji,DF,Bundesliga,26.0,25.1,50,36,29,16,5,22,36,61.1,14,246,113,45.9,140,92,14,38,18,0,20,47,97,73,0,1,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0,0,1.8,1.8,0.13,-0.8,-0.8,11,0.44,8,1,1,1,0,0,0,0.0,0,0,0,0,0,0,1801,1986,90.7,40191,13222,489,529,92.4,951,992,95.9,356,447,79.6,0,0.1,-0.1,2,130,3,0,121,240,64,39,62.1,72.0,1.4,4.5,1.5,1.9,71.8,2.5,103
37,Carlos Akapo,DF,La Liga,28.0,20.5,53,34,34,14,5,12,31,38.7,19,291,104,35.7,164,95,32,35,8,0,27,65,118,53,0,0,10,1,10.0,0.49,0.05,0.0,0.0,19.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,24,1.17,16,1,2,1,3,1,1,0.05,1,0,0,0,0,0,630,849,74.2,11828,4697,264,310,85.2,287,358,80.2,71,146,48.6,0,0.5,-0.5,9,26,16,9,37,200,43,36,54.4,64.2,1.7,5.1,1.7,3.2,30.7,2.1,79
38,Marley Aké,MFFW,Serie A,20.0,0.9,0,0,0,0,0,0,1,0.0,1,30,2,6.7,10,14,6,0,0,0,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,17,76.5,251,78,3,4,75.0,5,7,71.4,3,3,100.0,0,0.0,0.0,0,0,1,1,3,4,1,0,100.0,0.0,0.0,2.2,0.0,2.2,14.4,1.1,1
39,Nathan Aké,DF,Premier League,26.0,10.3,15,5,6,8,1,4,7,57.1,3,70,23,32.9,26,37,7,12,5,0,7,18,33,31,0,2,5,2,40.0,0.49,0.2,0.4,1.0,5.8,0,0,0,1.1,1.1,0.23,0.9,0.9,3,0.29,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,780,855,91.2,14444,4178,331,351,94.3,364,395,92.2,80,98,81.6,0,0.5,-0.5,2,53,3,0,31,78,41,8,83.7,33.3,0.5,2.2,1.2,1.7,75.7,4.0,49
40,Ilias Akhomach,FW,La Liga,17.0,1.4,2,0,0,1,1,0,0,0.0,0,7,1,14.3,1,1,5,1,0,0,1,0,2,0,0,0,4,2,50.0,2.9,1.45,0.0,0.0,21.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,7,5.08,4,0,1,0,2,0,0,0.0,0,0,0,0,0,0,45,53,84.9,625,193,35,36,97.2,8,10,80.0,2,5,40.0,0,0.4,-0.4,3,3,5,1,6,10,0,2,0.0,0.0,0.0,0.7,0.7,0.0,32.1,0.0,2
41,Maghnes Akliouche,MFFW,Ligue 1,19.0,0.6,2,1,1,1,0,0,1,0.0,1,21,7,33.3,4,10,7,2,0,0,2,0,2,0,0,0,2,1,50.0,3.33,1.67,0.0,0.0,13.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,1,1.67,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,20,22,90.9,272,81,13,13,100.0,5,6,83.3,1,2,50.0,0,0.1,-0.1,1,1,3,0,4,4,1,2,33.3,50.0,1.7,11.7,3.3,0.0,33.3,1.7,3
42,Paul Akouokou,MF,La Liga,23.0,5.7,17,12,5,9,3,9,13,69.2,4,113,38,33.6,34,67,12,7,0,0,7,12,29,9,0,0,2,0,0.0,0.35,0.0,0.0,0.0,21.0,0,0,0,0.0,0.0,0.02,0.0,0.0,6,1.05,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,287,328,87.5,5344,1253,117,132,88.6,129,142,90.8,33,43,76.7,0,0.1,-0.1,3,28,2,0,28,55,9,1,90.0,70.6,2.1,6.7,1.2,2.1,50.4,1.6,10
43,Jean-Daniel Akpa-Akpro,MF,Serie A,28.0,3.5,16,9,6,9,1,3,10,30.0,7,105,29,27.6,24,57,24,4,2,0,2,3,19,4,0,0,3,0,0.0,0.86,0.0,0.0,0.0,18.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,92,113,81.4,1285,188,53,63,84.1,32,35,91.4,2,3,66.7,0,0.0,0.0,2,5,1,0,3,24,7,7,50.0,56.2,2.6,8.3,1.1,0.9,26.3,2.0,14
44,Kevin Akpoguma,DF,Bundesliga,26.0,17.0,37,20,17,12,8,18,32,56.3,14,254,75,29.5,100,102,52,56,2,0,54,35,72,32,2,2,12,4,33.3,0.71,0.24,0.17,0.5,12.7,0,0,0,1.2,1.2,0.1,0.8,0.8,27,1.59,18,1,3,3,1,1,4,0.24,2,0,0,1,0,1,721,930,77.5,13623,5475,297,348,85.3,331,395,83.8,85,152,55.9,2,2.1,-0.1,12,55,13,2,79,144,23,22,51.1,54.1,1.2,4.4,3.3,2.1,42.4,1.4,45
45,David Alaba,DF,La Liga,29.0,29.4,25,18,13,10,2,9,16,56.3,7,223,83,37.2,100,100,23,37,17,1,20,41,66,67,2,2,21,6,28.6,0.72,0.2,0.1,0.33,22.0,7,0,0,1.6,1.6,0.08,0.4,0.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0,1804,1967,91.7,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,0.6,22,132,18,5,102,189,23,23,50.0,72.0,0.6,2.8,1.3,1.4,61.4,0.8,46
46,Sofiane Alakouch,DFMF,Ligue 1,23.0,1.8,8,6,4,4,0,3,6,50.0,3,52,12,23.1,21,24,7,6,0,0,6,6,14,2,0,0,1,0,0.0,0.57,0.0,0.0,0.0,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,84,102,82.4,1278,378,48,51,94.1,32,38,84.2,2,5,40.0,0,0.0,0.0,1,5,0,0,4,16,1,1,50.0,75.0,3.3,6.7,3.3,3.3,46.7,0.6,2
